numhits,legalStatus,contactCountry
1,Fédération syndicale,FRANCE
1,Förening,SWEDEN
2,G.E.I.E.,BELGIUM
1,G57172645,SPAIN
1,GCV,BELGIUM
4,GEIE,BELGIUM
1,GIC,CAMEROON
1,GIE,FRANCE
1,GIE Droit belge,BELGIUM
1,GIE belge,BELGIUM
1,GMBH,SWITZERLAND
1,GbR,GERMANY
1,"GbR, non-profit Association",GERMANY
1,Gemeinderatsfraktion,AUSTRIA
1,Gemeinmütziger Verein,GERMANY
1,Gemeinnützig zur Förderung wissenschaftlicher Zwecke laut Finanzamt München für Körperschaften,GERMANY
1,Gemeinnützige Anstalt des öffentlichen Rechts,GERMANY
1,Gemeinnützige Anstalt des öffentlichen Rechts für den Auslandsrundfunk,GERMANY
2,Gemeinnütziger Verein,AUSTRIA
1,Gemeinnütziger Verein,GERMANY
1,Gemeinnütziger eingetragener Verein (DE),GERMANY
1,Genossenschaft,GERMANY
1,German GmbH,GERMANY
1,Geschäftsbereich des Diakonischen Werkes der EKD e.V.,GERMANY
1,Geschäftsbereich im Diakonischen Werk der EKD e.V.,GERMANY
1,Gesellschaft Bürgerlichen Rechts,GERMANY
1,Gesellschaft bürgerlichen Rechts,GERMANY
1,Gesellschaft bürgerlichen Rechts (GbR),GERMANY
1,Gesellschaft mit beschränkter Haftung,AUSTRIA
4,Gesellschaft mit beschränkter Haftung,GERMANY
1,Gesselschaft m.b.H.,AUSTRIA
2,Gewerkschaft,GERMANY
1,Gewerkschaftsdachverband,GERMANY
1,Giuseppe padre II s.r.l.,ITALY
19,GmbH,GERMANY
5,GmbH,AUSTRIA
1,GmbH & Co OHG,GERMANY
1,GmbH & Co. KG,GERMANY
1,GmbH&Co.EU,GERMANY
1,Government Agency (Danish Agency for Libraries and Media),DENMARK
1,Governmental institution,CZECH REPUBLIC
1,Group,BELGIUM
1,Groupement d'Intérêt Economique (G.I.E.),BELGIUM
1,Groupement d’Intérêts Economiques,FRANCE
1,Groupement européen d'intérêt économique,BELGIUM
1,Headquarter - Foundation,NETHERLANDS
1,Higher Education Institution,UNITED KINGDOM
1,Humanitarian Aid Organization,AUSTRIA
1,Hybrid Fourth Sector Social Enterprise (unincorporated),PORTUGAL
1,Héctor Fabio Romero Tabares,COLOMBIA
1,I.Z.V.W.,NETHERLANDS
2,IASBL,BELGIUM
1,ICMA is established as an association under the laws of Switzerland with independent legal capacity,SWITZERLAND
1,IGO,FRANCE
1,III (Gemeinnütziger Verein),GERMANY
1,INC,UNITED STATES
1,INDIVIDUAL,INDIA
1,INDIVIDUAL PRIVAT PERSON,BELGIUM
1,INGO,BELGIUM
1,INGO,NETHERLANDS
3,INPA,BELGIUM
1,INSTITUCION DE DERECHO PUBLICO CON PERSONALIDAD JURÍDICA Y PATRIMONIO PROPIO,SPAIN
1,INSTITUCIÓN DE DERECHO PÚBLICO,SPAIN
4,IVZW,BELGIUM
1,IVZW - International non-profit association,BELGIUM
1,IVZW / AISBL,BELGIUM
1,IVZW/AISBL (Belgium),BELGIUM
1,Ideell Förening,SWEDEN
5,Ideell förening,SWEDEN
1,Ideell organisation,SWEDEN
1,Import Export,PAKISTAN
1,Inc,UNITED KINGDOM
1,Inc,UNITED STATES
2,Inc.,UNITED STATES
1,Inc.,CANADA
2,Incorporated,UNITED STATES
1,Incorporated Association under Canadian law,CANADA
1,Incorporated Company,UNITED KINGDOM
1,Incorporated Entity,UNITED STATES
1,"Incorporated as an ""Association Loi 1901"", not-for-profit association in FRANCE (international federation)",FRANCE
1,Incorporated association (e. V.),GERMANY
1,Incorporated by Royal Charter,UNITED KINGDOM
1,Incorporated by Royal Charter dating from 1845,UNITED KINGDOM
1,Incorporated company,UNITED KINGDOM
1,Incorporated entity,UNITED KINGDOM
1,"Incorporated in the State of Delaware, USA",UNITED STATES
1,Independant consultant,BELGIUM
1,Independent Consultant,UNITED KINGDOM
1,Independent Consultant,GERMANY
1,Independent Consultant,POLAND
1,Independent Contractor,LUXEMBOURG
1,Independent Economist,SPAIN
1,Independent Statutory body,UNITED KINGDOM
1,Independent consultant,BELGIUM
1,Indipendent,BELGIUM
1,Individe,ALBANIA
1,Individual/Sole Trader,ITALY
1,Industry Association,BRAZIL
1,Industry association,ITALY
1,Industry trade body,UNITED KINGDOM
1,Indépendant,FRANCE
1,Indépendant à titre complémentaire,BELGIUM
1,Informal alliance of independent small volume car manufacturers,BELGIUM
1,Informal group,UNITED KINGDOM
1,"Informal grouping of the six largest accounting networks in the European Union, originally set up in 1993.  It was set up at the suggestion of the European Commission.",BELGIUM
1,Informal network,BELGIUM
2,Institute - company,GERMANY
1,Institution financière publique - France,FRANCE
1,Institution under public law,FINLAND
1,Interessenvertretung,GERMANY
1,Intergovernmental Organisation,BELGIUM
1,Intergovernmental Organization,BELGIUM
1,Internation not for profit (under Belgian law),BELGIUM
1,International Association,BELGIUM
1,International Association according to Article 60 and following of Swiss Civil Code,SWITZERLAND
1,International Association under Belgian Law,BELGIUM
1,International Dockworkers Council,SPAIN
1,International NGO,SUDAN
1,International NGO,INDIA
1,International NGO,NETHERLANDS
1,International NGO under Belgian Law,BELGIUM
1,International Nobility Association,GUATEMALA
1,International Non Profit Association,UNITED KINGDOM
1,International Non Profit Association under Belgian Law (AISBL),BELGIUM
1,International Non Profit Making Organisation,BELGIUM
2,International Non Profit Organisation,BELGIUM
1,International Non-Governmental Network,GERMANY
1,International Non-Profit Association,BELGIUM
1,International Non-Profit Organisation,BELGIUM
1,International Not for Profit Association under Belgian Law,BELGIUM
1,International Not-for Profit Association (AISBL),BELGIUM
4,International Not-for-Profit Association,BELGIUM
1,International Not-for-Profit Association (AISBL),BELGIUM
1,International Organisation,ITALY
1,International Organisation under Swiss Law,SWITZERLAND
1,International Organisation with a Scientific and Pedagogical Purpose,BELGIUM
1,International association,DENMARK
1,International association under Belgian law,BELGIUM
1,International non governmental organisation,SPAIN
1,International non profit association of a scientific character,BELGIUM
1,International non profit foundation,SWITZERLAND
1,International non profit making association,BELGIUM
1,International non-profit Association,BELGIUM
1,International non-profit association,GERMANY
1,International non-profit association,BELGIUM
2,International non-profit association (aisbl),BELGIUM
1,"International non-profit association, established under Belgian law (aisbl)",BELGIUM
1,"International non-profit making organisation registred under the Belgian law, nr 16377/1997",BELGIUM
1,International non-profit organisation,BELGIUM
1,International non-profit organisation under Belgian law (aisbl),BELGIUM
1,International non-profit organization,BELGIUM
1,International non-profit organization by virtue of a Belgian Royal Decree of 1999,BELGIUM
1,International non-profit-making association,BELGIUM
1,International non-profit-making association (aisbl),BELGIUM
1,International not-for-profit association,SPAIN
1,International organisation,SWITZERLAND
1,International vereniging zonder winstoogmerk,BELGIUM
1,Internationale Non Profit Associatie (INPA),BELGIUM
1,Internationale VZW,BELGIUM
1,"Internationl organisation, Belgium",SLOVENIA
1,Internet-Forum,BELGIUM
1,Interprofession,FRANCE
1,Intresseorganisation,SWEDEN
1,Irish parent and carer NGO,IRELAND
1,IÑIGO CAÑEDO,SPAIN
1,Jednoskta organizacyjna Urzędu Marszałkowskiego Województwa Podlaskiego,POLAND
1,Joint Stock Company,ROMANIA
1,Joint Stock company,ITALY
1,Juristische Person des Privatrechts,GERMANY
1,KGaA,GERMANY
1,Kellogg Europe Trading LTD,IRELAND
1,Kommanditgesellschaft,GERMANY
1,Kommanditgesellschaft (Limited Partnership under German Law),GERMANY
1,Kommanditgesellschaft auf Aktien,GERMANY
1,Kontor - sammenslutning af offentlige myndigheder,DENMARK
1,Kooperative,MALTA
1,Koordinierungsstelle,GERMANY
4,Körperschaft des öffentlichen Rechts,GERMANY
1,Körperschaft öffentlichen Rechts,BELGIUM
9,Körperschaft öffentlichen Rechts,AUSTRIA
1,Körperschaft öffentlichen Rechts / Corporation under Public Law,BELGIUM
1,Közhasznú egyesület,HUNGARY
1,Köztestület,HUNGARY
1,Közép Európai Civil Kutató Intézet,HUNGARY
1,"Közérdek politikus, vezető jogvédő",HUNGARY
1,"L'Agence  est régie par les dispositions du titre III de la loi du 27 juin 1921 selon la loi Belge, ainsi que selon la Charte des droits fondamentaux de l'Union Européenne, et en particulier ses articles 1, 8, 19, 20, 21, 24, 25, 35 et 45.",BELGIUM
1,LAVORATORE AUTONOMO,ITALY
2,LIMITED COMPANY,UNITED KINGDOM
1,LIMITED LIABILITY PARTNERSHIP,POLAND
2,LLC,ROMANIA
1,LLC,BELGIUM
1,LLC,BULGARIA
1,LLC/SPRL,BELGIUM
1,LLP,UNITED KINGDOM
1,LOI 1901,FRANCE
1,LTD,SPAIN
1,LTD,GREECE
3,LTD,UNITED KINGDOM
1,LTD private company,ROMANIA
1,Labo de recherches au sein de l'Association ESSEC Business School,FRANCE
1,Landes-GmbH des Landes Niedersachsen,GERMANY
1,Landtag,AUSTRIA
1,Law Firm,ITALY
1,Law Firm,AUSTRIA
1,Law Firm - Studio Legale - Cabinet d'Avocats,ITALY
1,Law Office,PORTUGAL
1,Law firm,GERMANY
2,Lawyer,ITALY
1,Lecturer,IRELAND
1,Legal entity,NORWAY
1,Legal entity with limited liability,BELGIUM
1,Libero professionista,ITALY
1,Limitd Company,UNITED KINGDOM
1,Limited,POLAND
6,Limited,UNITED KINGDOM
2,Limited,BELGIUM
1,Limited Company,ROMANIA
1,Limited Company,SLOVAKIA
4,Limited Company,IRELAND
1,Limited Company,SWITZERLAND
26,Limited Company,UNITED KINGDOM
1,Limited Company (Division of a publicly listed US corporation),UNITED KINGDOM
1,Limited Company (UK),UNITED KINGDOM
1,Limited Company by Guarantee,UNITED KINGDOM
1,Limited Company incorporated in England & Wales,UNITED KINGDOM
1,Limited Company under Public Law,BELGIUM
1,Limited Company under the laws of England and Wales,UNITED KINGDOM
1,Limited Compnay,UNITED KINGDOM
1,Limited Liability,BELGIUM
1,Limited Liability ( LTD ),IRELAND
1,Limited Liability - private company,SWEDEN
1,Limited Liability Company,CROATIA
1,Limited Liability Company,BELGIUM
3,Limited Liability Company,UNITED KINGDOM
1,Limited Liability Company,NORWAY
1,Limited Liability Company (NV/SA),BELGIUM
1,Limited Liability Copany,ITALY
1,Limited Liability Corporation,SPAIN
2,Limited Liability Partnership,UNITED KINGDOM
1,Limited Liability Partnership,BELGIUM
1,Limited Liability company,UNITED KINGDOM
1,Limited Partnership (société en commandite simple),BELGIUM
1,Limited agricultural organisation,ISRAEL
1,Limited by Guarantee,UNITED KINGDOM
1,Limited by guarantee,UNITED KINGDOM
1,Limited company,DENMARK
9,Limited company,UNITED KINGDOM
1,Limited company,SPAIN
1,Limited company,FINLAND
1,Limited company,HUNGARY
1,Limited company (LTD),UNITED KINGDOM
1,Limited company incorporated in the Republic of Ireland,IRELAND
1,Limited company registered in England,UNITED KINGDOM
1,Limited company without share capital,IRELAND
1,Limited liability company,UNITED KINGDOM
1,Limited liability company,ITALY
1,Limited liability company,SLOVAKIA
1,Limited liability company registered in Norway,NORWAY
1,Limited-liability company: Shungham Information sprl,BELGIUM
1,Listed company,UNITED KINGDOM
1,Listed company,UNITED STATES
1,Listed company,FINLAND
1,Listed stock corporation,GERMANY
1,Local Authority/ government body,UNITED KINGDOM
1,Local Governments Association,ROMANIA
1,Local authority,SWEDEN
1,Local authority,UNITED KINGDOM
1,Loi d'association 1901,FRANCE
3,Ltd,UNITED KINGDOM
1,Ltd,BELGIUM
1,Ltd,CZECH REPUBLIC
1,Ltd,SLOVENIA
1,Ltd,FRANCE
1,Ltd.,CZECH REPUBLIC
1,Ltd.,UNITED KINGDOM
1,Ltd. company under South African law,SOUTH AFRICA
1,MATISZ,HUNGARY
1,MIGUEL ANGEL SANCHO GARGALLO,SPAIN
1,MINISTERIAL ORDER,RUANDA
1,MTÜ/ Non profit,ESTONIA
1,Medlemsorganisation,DENMARK
1,Membership Association,UNITED KINGDOM
1,Miesten tasa-arvo ry,FINLAND
1,Mitarbeiterin,GERMANY
1,N.G.O,KENYA
1,N.G.O,GREECE
7,N.V.,NETHERLANDS
1,N.V./S.A.,BELGIUM
1,"NA - alliance of trade associations, suppliers, think tanks and academia",UNITED KINGDOM
1,NATIONAL PROFESSIONAL ASSOCIATION,GREECE
4,NGO,SPAIN
2,NGO,"MOLDOVA, REPUBLIC OF"
1,NGO,BOSNIA-HERZEGOVINA
1,NGO,TURKEY
2,NGO,MALTA
1,NGO,"SYRIA, ARAB REPUBLIC"
4,NGO,NORWAY
1,NGO,CROATIA
4,NGO,UNITED KINGDOM
9,NGO,ROMANIA
2,NGO,NETHERLANDS
3,NGO,BULGARIA
1,NGO,NETHERLANDS ANTILLES
1,NGO,ISRAEL
3,NGO,SERBIA
1,NGO,BRITISH VIRGIN ISLANDS
5,NGO,DENMARK
5,NGO,UNITED STATES
1,NGO,BRAZIL
1,NGO,LITUANIA
3,NGO,HUNGARY
1,NGO,FINLAND
1,NGO,LUXEMBOURG
2,NGO,SWITZERLAND
3,NGO,POLAND
2,NGO,CYPRUS
5,NGO,FRANCE
4,NGO,AUSTRIA
8,NGO,BELGIUM
10,NGO,GERMANY
5,NGO,ITALY
2,NGO,CZECH REPUBLIC
1,NGO,MONTENEGRO
1,NGO,"MACEDONIA, FORMER YUGOSLAV REPUBLIC OF"
5,NGO,SWEDEN
3,NGO,GREECE
1,NGO (Local Development Organization),PORTUGAL
1,NGO (Registration Number 476.356.013),BELGIUM
1,NGO - ECOSOC observer status,DENMARK
1,NGO - Non profit making,ITALY
1,NGO / Umbrella association,BELGIUM
1,NGO Network,DENMARK
1,NGO NonProfit,ROMANIA
1,NGO public health,"MACEDONIA, FORMER YUGOSLAV REPUBLIC OF"
1,NGO with consultant status at the Council of Europe and ECOSOC (UN),SWEDEN
1,"NGO, Non profit",UNITED KINGDOM
1,NGO-  Non Profit,GREECE
1,NGO/Association,BELGIUM
1,NGO/Association,SPAIN
1,NGO: Non Profit Organisations,UNITED KINGDOM
1,NIP: 7811765148,POLAND
1,NO,SPAIN
1,NO PROFIT,ITALY
1,NON DISPONIBILE,ITALY
1,NON FOR PROFIT ASSOCIATION - organisation of healthcare professionals based on individual membership,SWITZERLAND
1,NON PROFIT,SPAIN
1,NON PROFIT ORGANISATION,FRANCE
1,NON PROFIT UNDER PRIVATE LAW,SPAIN
1,NON-GOVERNMENTAL,NIGERIA
1,NOT FOR PROFIT ORGANISATION,UNITED KINGDOM
1,NPO,ISRAEL
1,NPO,BELGIUM
1,NV,GERMANY
1,NV,BELGIUM
1,NV,UNITED STATES
1,NV van publiek recht,BELGIUM
1,"NV, sub-licentiehouder van ECDL Foundation Ltd",NETHERLANDS
1,NV/PLC,NETHERLANDS
4,NV/SA,BELGIUM
1,NVO,SERBIA
1,NYSE listed company,UNITED STATES
1,Naamloos Venootschap,NETHERLANDS
1,Naamloze Vennootschap,NETHERLANDS
2,Naamloze Vennootschap,BELGIUM
1,Naamloze Vennootschap/public limited liability company,NETHERLANDS
3,Naamloze vennootschap,NETHERLANDS
1,National Association,SPAIN
1,National Federation,SPAIN
1,National Representative Organisation,IRELAND
1,National association,NORWAY
1,Natrional Federation,NORWAY
1,Natural Person.  Independent,BELGIUM
1,Network,BELGIUM
2,Network,ITALY
1,Netzwerk mit Trägerverein,GERMANY
1,Netzwerk ohne rechtlichen Status,GERMANY
1,Ngo,ITALY
1,Nicht eingetragener Verein,GERMANY
1,Nichtrechtsfähiger Verein,GERMANY
1,Niezależny konsultant,POLAND
1,Nike European Operations Netherlands B.V.,NETHERLANDS
1,No,SPAIN
1,No,AUSTRIA
1,No legal entity,LATVIA
1,No profit cultural association,ITALY
1,Nokia Corporation,FINLAND
1,Non -for- profit international organization,BELGIUM
1,Non Departmental Public Body,UNITED KINGDOM
1,Non Govermental Organization,IRELAND
1,Non Governamental Organization,ROMANIA
1,Non Governemental - Non Profit Organisation,GREECE
1,Non Governmental Org.,FRANCE
1,Non Governmental Organisation,DENMARK
1,Non Governmental Organisation,IRELAND
1,Non Governmental Organization,GREECE
1,Non Profit,ITALY
1,Non Profit,NORWAY
1,Non Profit - AISBL,BELGIUM
1,Non Profit Association,GERMANY
1,Non Profit Organisation,GERMANY
6,Non Profit Organisation,BELGIUM
1,Non Profit Organisation,SWEDEN
1,Non Profit Organisation,BRAZIL
1,Non Profit Organisation,"RUSSIA, FEDERATION OF"
1,"Non Profit, Slovakia",SLOVAKIA
1,Non Profitable Organisation,BELGIUM
1,Non available,NORWAY
1,Non available,ARGENTINA
2,Non available,NETHERLANDS
1,Non departmental public body,UNITED KINGDOM
1,Non for Profit Organisation,GERMANY
1,Non for profit organisation,SPAIN
1,Non for profit organisation,BELGIUM
1,Non for profit organisation - No legal status,BELGIUM
1,Non governmental Organisation,BELGIUM
1,Non governmental organisation,BELGIUM
2,Non profit,UNITED STATES
1,Non profit,BELGIUM
1,Non profit Association,SPAIN
1,Non profit Association,BELGIUM
1,Non profit Organization,ITALY
1,Non profit and private association,ITALY
1,Non profit association,DENMARK
1,Non profit association VR 9885 registered at Court of Duesseldorf,GERMANY
1,Non profit making,BULGARIA
1,Non profit organisation,BELGIUM
1,Non profit organisation under Belgian law,BELGIUM
1,Non profit organization,BELGIUM
1,Non profit organization (asbl),BELGIUM
1,Non profit-making organisation (ASBL),BELGIUM
1,Non profit/professional association,SWEDEN
1,Non profitable Organization,BELGIUM
1,Non- profit Organisation,UNITED STATES
1,Non-Available,UNITED KINGDOM
1,Non-Governemental Organisation,NETHERLANDS
1,Non-Governmental Organisation,SPAIN
1,Non-Governmental Organisation,UNITED KINGDOM
1,Non-Profit Company,CYPRUS
1,Non-Profit Organisation,BELGIUM
1,Non-Profit Organisation under Belgian Law,BELGIUM
1,Non-for-profit company registered by Companies Registration Office 346469,IRELAND
1,Non-governmantal organisation,TURKEY
1,Non-governmental,UNITED KINGDOM
1,Non-governmental Organization,ROMANIA
1,Non-governmental and non profit creative-professional organization from 1934,BULGARIA
1,Non-governmental organisation,ROMANIA
1,Non-governmental organisation,DENMARK
1,Non-governmental organization,DENMARK
1,Non-governmental organization,UNITED STATES
1,"Non-governmental, non-profit organization",ROMANIA
1,Non-ministerial government department,UNITED KINGDOM
1,Non-profit,POLAND
1,Non-profit Company,UNITED KINGDOM
1,Non-profit International Association,BELGIUM
1,Non-profit Organisation,UNITED STATES
1,Non-profit Organisation (aisbl),BELGIUM
1,Non-profit association,NETHERLANDS
3,Non-profit association,BELGIUM
2,Non-profit association,SWEDEN
1,Non-profit association,GERMANY
1,Non-profit association (ASBL),BELGIUM
1,Non-profit association (a.i.s.b.l.),BELGIUM
1,Non-profit association under Dutch law,NETHERLANDS
1,Non-profit charity in Ireland,IRELAND
1,Non-profit erhvervsorganisation,DENMARK
1,Non-profit foundation,SWEDEN
1,Non-profit international Organisation,BELGIUM
1,Non-profit making trade association,NORWAY
1,Non-profit organisation,"RUSSIA, FEDERATION OF"
1,Non-profit organisation,SWEDEN
6,Non-profit organisation,BELGIUM
1,Non-profit organisation,SWITZERLAND
1,Non-profit organisation,GREECE
1,Non-profit organisation,ROMANIA
1,Non-profit organisation,FRANCE
1,Non-profit organisation (AISBL),BELGIUM
2,Non-profit organisation (ASBL),BELGIUM
1,Non-profit organisation under Belgian law (asbl),BELGIUM
1,Non-profit organization,SPAIN
1,Non-profit organization,BULGARIA
1,Non-profit organization (onlus),ITALY
1,Non-profit private foundation,SPAIN
1,"Non-profit, academic, international",BELGIUM
1,"Non-profit, membership-based organization",SWITZERLAND
1,"Non-profitmaking organisation, registered as Vereniging in the Netherlands",NETHERLANDS
1,"Non-profitmaking organisation, registered as e.V. in Germany",GERMANY
1,None,UNITED KINGDOM
2,None,BELGIUM
2,None,UNITED STATES
1,None - AURE is an informal network of UK healthcare professional regulators,UNITED KINGDOM
1,"None, citizen group",BELGIUM
1,None- NGO without a legal personality,BELGIUM
1,"None. The CMBA is an informal coalition with neither own budget, nor own offices, nor any legal personality.",BELGIUM
1,Nongovernmental organization,SERBIA
1,Nonprofit Association,NETHERLANDS
1,Nonprofit membership organization,UNITED STATES
1,Nonprofits Association,SPAIN
1,Norwegian ASA,NORWAY
1,Norwegian state-owned enterprise,NORWAY
1,Not available,FRANCE
1,Not for Profit,BELGIUM
1,Not for Profit,UNITED STATES
1,Not for Profit Association,UNITED KINGDOM
1,Not for Profit Limited Company,UNITED KINGDOM
1,"Not for Profit, Non-Governmental Foundation",BELGIUM
1,Not for profit,IRELAND
1,Not for profit Limited by guarentee,UNITED KINGDOM
1,Not for profit association,SPAIN
2,Not for profit association,UNITED KINGDOM
1,Not for profit association,FRANCE
1,Not for profit company limited by guarentee,UNITED KINGDOM
1,Not for profit entity,UNITED KINGDOM
1,Not for profit industry standards body - trust owned,UNITED KINGDOM
1,Not for profit limited liability,UNITED KINGDOM
1,Not for profit limited liability company,UNITED KINGDOM
1,Not for profit non governmental association,NETHERLANDS
1,Not for profit organisation,BELGIUM
1,Not for profit organisation,SWEDEN
1,Not for profit organisation limited by guarantee,UNITED KINGDOM
1,"Not for profit organisation, Aisbl",BELGIUM
1,Not for profit trade association,UNITED STATES
1,Not for profit trade association,ITALY
1,Not-for-profit,BELGIUM
1,Not-for-profit Professional Organization,CANADA
1,Not-for-profit association,UNITED KINGDOM
1,Not-for-profit association according to the laws of the State of New York (USA),UNITED STATES
1,Not-for-profit association under French law (Association Loi 1901),FRANCE
1,Not-for-profit company,FRANCE
1,Not-for-profit company,UNITED KINGDOM
1,Not-for-profit corporation,UNITED KINGDOM
1,Not-for-profit industry association,ITALY
2,Not-for-profit organisation,BELGIUM
1,Not-for-profit organisation with no legal identity,GERMANY
1,Not-for-profit organization,ITALY
1,"Not-for-profit, member-owned Co-operative",UNITED KINGDOM
1,Novozymes A/S,DENMARK
2,N° 684,ARGENTINA
1,OING,FRANCE
4,ONG,SPAIN
2,ONG,FRANCE
5,ONG,ROMANIA
1,ONG,ITALY
1,ONG,GUINEA
1,ONG,BENIN
1,ONG - ONLUS,ITALY
1,ONG SEN ÁNIMO DE LUCRO,SPAIN
1,ONG/Asociatie,ROMANIA
4,ONLUS,ITALY
1,ONLUS/ONG,BELGIUM
2,OPP,SPAIN
1,ORDINE CAVALLERESCO,ITALY
1,ORGANISATION PROFESSIONNELLE,FRANCE
1,ORGANIZACION DE PRODUCTORES,SPAIN
2,ORGANIZACIÓN EMPRESARIAL,SPAIN
1,ORGANIZACIÓN INTERNACIONAL,SPAIN
1,ORGANIZAÇÃO NÃO-GOVERNAMENTAL,PORTUGAL
1,ORGANIZZAZIONE INTERNAZIONALE,ITALY
1,Official Procurement Consulting Ltd.,HUNGARY
1,Ong,ROMANIA
2,Onlus,ITALY
1,"Ordine Cavalleresco ""non nazionale""",ITALY
1,Ordre professionnel,FRANCE
2,Organisation,DENMARK
3,Organisation,NORWAY
1,Organisation,GERMANY
2,Organisation,NETHERLANDS
1,Organisation,LUXEMBOURG
1,Organisation Interprofessionnelle,FRANCE
1,Organisation Professionnelle,FRANCE
1,Organisation non gouvernementale à but non lucratif,SWITZERLAND
1,Organisation professionelle - syndicat,FRANCE
2,Organisation professionnelle,FRANCE
1,Organisation representing regional authorities,FRANCE
1,Organisation à but non lucratif,MAURITANIA
1,"Organisme privé, doté de la personnalité morale, chargé par le législateur d'une mission de service public",BELGIUM
1,Organisme public de recherche,FRANCE
1,Organismo Internazionale - Intergovernment Diplomatic Office,ITALY
1,Organismo No-Profit - Onlus,ITALY
1,Organización Profesional Agraria nacional,SPAIN
1,Organización de segundo grado sin fines de lucro.,ECUADOR
1,Organización empresarial,SPAIN
1,Organizacja Pracodawców,POLAND
1,Organizacja producentów w sektorze rybołówstwa,POLAND
1,"Organizaţie profesională cu statut statut de persoană juridică, înfiinţată prin lege",ROMANIA
1,Organizzazione ONLUS,ITALY
1,Organizzazione di volontariato,ITALY
1,Orgonizacion no gubernamental,SPAIN
1,Overheid,BELGIUM
1,Owner / Partner private company,NETHERLANDS
1,PARTNERSHIP,CYPRUS
1,PBO,NETHERLANDS
7,PLC,UNITED KINGDOM
1,PLC,GERMANY
1,PLC & Co. KG,GERMANY
1,PRIVATE COMPANY LIMITED BY GUARANTEE,CYPRUS
1,PRIVATE NO PROFIT,ITALY
1,PRIVATE NON PROFIT COMPANY,SPAIN
1,PRIVATE RECRUITING AND EMPLOYMENT OFFICE,CYPRUS
1,PROFESSIONAL ASSOCIATION,ROMANIA
1,PUBLIC ADMINISTRATION,ITALY
1,PUBLIC COMPANY,FRANCE
1,PUBLIC PROFESSIONAL BODY,ITALY
1,PYME,SPAIN
1,Pariti politique guinéen,GUINEA
1,Part of KDC Group Belgian BVBA,BELGIUM
1,"Part of Umeå University, a public university in Sweden",SWEDEN
1,Part of West Midlands Councils,UNITED KINGDOM
1,Part of a German registered non-profit organisation (e. V.),GERMANY
1,Partido Político,SPAIN
1,Partnerschaftsgesellschaft,GERMANY
1,Partnership,BELGIUM
1,Partnership,FINLAND
1,Państwowy Instytut Badawczy,POLAND
1,Persoana fizica,ROMANIA
1,Persona giuridica,ITALY
1,Personnal Company,GREECE
1,Personne agissant en qualité d'indépendant,FRANCE
1,Pharmaceutical Company,FRANCE
2,Platform,SPAIN
1,Plc,HUNGARY
1,Plc,IRELAND
1,Plc.,DENMARK
1,Political alliance of regional councils,NORWAY
1,Portuguese limited liability company,PORTUGAL
1,Presidente,SPAIN
1,Private,UNITED KINGDOM
1,Private - Non profit organisation (Asbl),BELGIUM
1,Private Association,SPAIN
1,Private Company,ITALY
1,Private Foundation,SPAIN
1,Private Foundation,NETHERLANDS
1,Private Foundation under Belgian Law.,BELGIUM
1,"Private Foundation under Belgian law, founded in 2003",BELGIUM
1,Private LLC,NETHERLANDS
1,Private Law Body,NETHERLANDS
1,Private Limited Company,NORWAY
8,Private Limited Company,UNITED KINGDOM
1,Private Limited Liability Company (SPRL),BELGIUM
1,Private Limited Partnership,UNITED KINGDOM
1,Private Limited company,UNITED KINGDOM
1,Private Organization,DENMARK
1,Private body,SPAIN
1,Private body governed by public law,SPAIN
3,Private company,BELGIUM
2,Private company,UNITED KINGDOM
1,Private company,NORWAY
1,Private company with limited responsibility,BULGARIA
1,Private firm,NETHERLANDS
1,Private foundation,SPAIN
1,Private limited company,PORTUGAL
1,Private limited company,UNITED KINGDOM
1,Private limited company by shares,GERMANY
1,Private non profit research institute,PORTUGAL
1,Private organisation,NORWAY
1,"Private, limited by guarantee, no share capital",UNITED KINGDOM
1,Privately held energy advisory company,UNITED KINGDOM
1,Privately owned company,UNITED STATES
1,Privato,ITALY
1,Pro,SWEDEN
1,Producer Organisation,DENMARK
1,Producer Organization,SPAIN
1,Producers Organisation,UNITED KINGDOM
1,Profession libérale,FRANCE
1,Professional Association,GERMANY
1,Professional Association,FRANCE
2,Professional Association,UNITED KINGDOM
3,Professional Association,ITALY
1,Professional Body,UNITED KINGDOM
1,Professional Business Organisation,UNITED KINGDOM
1,Professional Consultancy,GERMANY
1,Professional association,POLAND
1,Professional association,SWEDEN
1,Professional association,FRANCE
1,Professional association and trade union,UNITED KINGDOM
1,Professional body and charity,UNITED KINGDOM
1,Professional consultancies,BELGIUM
1,Professional organization,ITALY
1,Propia regulada por los Estatutos,SPAIN
1,Public Academic institution,PORTUGAL
1,Public Administration,SPAIN
1,Public Administration,POLAND
4,Public Authority,BELGIUM
1,Public Company,UNITED STATES
1,Public Company,AUSTRALIA
1,Public Company,NORWAY
1,Public Company Limited by Guarantee,UNITED KINGDOM
1,Public Corporation,GERMANY
1,Public Institute with commercial duties,FRANCE
1,Public Law,NIGERIA
1,Public Law Corporation,SPAIN
1,Public Limited Company,IRELAND
1,Public Limited Company,UNITED STATES
8,Public Limited Company,UNITED KINGDOM
1,Public Research Institute,SLOVENIA
1,Public Traded Company,DENMARK
2,Public University,ITALY
1,Public Utility (SA),GREECE
1,"Public body, local government",SWEDEN
1,Public company,FINLAND
1,Public company,UNITED KINGDOM
